[DB] Using SQLite: sqlite:///C:\Users\socrat\Desktop\Movis_with_Telegram\database\movies.db
Library ID: 1
Found 0 existing TV series in the database.

Scraping TV series channel: https://t.me/Series7h7
This may take a while for channels with many messages...

  [NEW] Lucky (msg #811, link: https://t.me/Lucky_7h)
  [NEW] True Detective (msg #518, link: https://t.me/+IDmt5x8l1yphMTNk)
  [NEW] Daredevil (msg #516, link: https://t.me/+bL1MQ7C9M-84MTc0)
  [NEW] Lucifer (msg #506, link: https://t.me/+zgf69iE6Gho3MWNk)
  [NEW] The Walking Dead (msg #503, link: https://t.me/+N3WQAAEHnyg5N2Zk)
  [NEW] House Of The Dragon (msg #495, link: https://t.me/+9FH7TKD7RhliZWJk)
  [NEW] The Sopranos (msg #493, link: https://t.me/+vsAsau_fyXhiMTVk)
  [NEW] Succession (msg #491, link: https://t.me/+CJDb0gyYzEEzNDFk)
  [NEW] See (msg #489, link: https://t.me/+LrqMt9EnkF0zYjU0)
  [NEW] Game Of Thrones (msg #487, link: https://t.me/+w-aXj2N6GBVlNDQ0)
  [NEW] Agatha All Along (msg #479, link: https://t.me/+3QedoDmX8-VmNjZk)
  [NEW] The Punisher One Last Kill (msg #477, link: https://t.me/+-eYYn5FQEeo2N2Zk)
  [NEW] Off Campus (msg #470, link: https://t.me/+meVYOgwFOSNmOWI0)
  [NEW] Dept Q (msg #435, link: https://t.me/+I0I1kTsh2zE0YWVk)
  [NEW] Legion (msg #433, link: https://t.me/+NeMHPDhYJl4yOWI8)
  [NEW] Covert Affairs (msg #431, link: https://t.me/+0afDsN1-6YJlODc0)
  [NEW] The Big Bang Theory (msg #429, link: https://t.me/+yguxNqa9lO0zYzE0)
  [NEW] Rivals (msg #427, link: https://t.me/+J6FpRLW_1V1lNmE0)
  [NEW] Limitless (msg #425, link: https://t.me/+K6wAWEVXyUZiNzA0)
  [NEW] Under The Dome (msg #416, link: https://t.me/+XgxoHSH4U9xkMmU0)
  [NEW] House of Cards (msg #414, link: https://t.me/+M2ZhgHBEGn5jZDI8)
  [NEW] Iron Fist (msg #403, link: https://t.me/+WUlGub-A1ioxNDQ8)
  [NEW] Jessica Jones (msg #400, link: https://t.me/+iTWryJnq9-E5ZmY0)
  [NEW] Bodyguard (msg #384, link: https://t.me/+sBqHmWU7FSc4ZGQ0)
  [NEW] Daredevil Punisher Defenders (msg #378, link: https://t.me/+aU0r8sGwb9MwMGFk)
  [NEW] Steal (msg #361, link: https://t.me/+bFB3pUXTdOpjYmE8)
  [NEW] Long Bright River (msg #359, link: https://t.me/+1R_oAtwYM341Y2Y0)
  [NEW] The Mentalist (msg #356, link: https://t.me/+41esItryABs0MWZk)
  [NEW] Sons Of Anarchy (msg #351, link: https://t.me/+MoqMDQtVVEc5NTA8)
  [NEW] 11.22.63 (msg #349, link: https://t.me/+VHfv8mOgt3QzMGU0)
  [NEW] And Then There Were None (msg #347, link: https://t.me/+NzJVuhgWiZ84ZDlk)
  [NEW] Ozark (msg #345, link: https://t.me/+-Hm2LyL-435hMTg0)
  [NEW] A Murder at the End of the World (msg #343, link: https://t.me/+wTXrocGruS0xMjdk)
  [NEW] Good Omens (msg #340, link: https://t.me/+qTZQv0xVZlM5Y2Y0)
  [NEW] Young Royals (msg #333, link: https://t.me/+4xMCoLPQbV9kNmNk)
  [NEW] Mad Men (msg #328, link: https://t.me/+Zwqf2ToY13JmMWNk)
  [NEW] The Night Of (msg #326, link: https://t.me/+PGvp3ZAdV-43NzU0)
  [NEW] 1899 (msg #324, link: https://t.me/+HJJA-Py5sf0wZTc0)
  [NEW] Teen Wolf (msg #322, link: https://t.me/+z_Zdc7cVDG83ZmQ0)
  [NEW] Band Of Brothers (msg #315, link: https://t.me/+MW4Hk8rVKl41Y2U0)
  [NEW] Black Mirror (msg #313, link: https://t.me/+xfzrzAB1eFI1Mjc0)
  [NEW] Blindspot (msg #311, link: https://t.me/+9qnXpZQJlIEzN2Q8)
  [NEW] The Witcher (msg #309, link: https://t.me/+CqsbXVjebewyNTY0)
  [NEW] The 100 The Hundred (msg #307, link: https://t.me/+hbN5oshU_zM3MTg0)
  [NEW] The Good Doctor (msg #305, link: https://t.me/+XGBO4dJJrrs2M2Fk)
  [NEW] Girls (msg #303, link: https://t.me/+WSGtZEiEW1ExM2Jk)
  [NEW] The Leftovers (msg #275, link: https://t.me/+qqf3Dvt_5EBhZTM8)
  [NEW] Hijack (msg #273, link: https://t.me/+hhxvxpytz8o2YmM0)
  [NEW] Gen V (msg #271, link: https://t.me/+girxmnfbbs5hNjk0)
  [NEW] All Her Fault (msg #269, link: https://t.me/+DkZtwYDPIrVjZjA0)
  [NEW] The Boys 5 (msg #266, link: https://t.me/+Voo48zjaCXM5YjI0)
  [NEW] Brooklyn Nine Nine Brooklyn 99 (msg #263, link: https://t.me/+5LXb3Jf9OJgzZjZk)
  [NEW] West World (msg #261, link: https://t.me/+Bp-p9lTIMTtiZWE0)
  [NEW] Hannibal (msg #259, link: https://t.me/+bffC_4vmeFMzMGJk)
  [NEW] The Man In The High Castle (msg #255, link: https://t.me/+Oa-OtROiIDczNzE0)
  [NEW] The Office (msg #253, link: https://t.me/+qVrXWV0sTUg2N2Q8)
  [NEW] XO Kitty (msg #251, link: https://t.me/+7tgtVXO0QJMyOTU8)
  [NEW] Young Sherlock (msg #245, link: https://t.me/+33lsQfjYcrBkNDNk)
  [NEW] Babylon Berlin (msg #243, link: https://t.me/+YZBT7Y-YzB04NjM0)
  [NEW] Berlin (msg #241, link: https://t.me/+tG7kqF14GShhYTJk)
  [NEW] Detective Hole (msg #239, link: https://t.me/+a9a4sphPgrwwZWQ8)
  [NEW] Alta Mar (msg #228, link: https://t.me/+WG_Y-XbzesU3MDhk)
  [NEW] Arcane (msg #226, link: https://t.me/+2B71C55fWKE4MThk)
  [NEW] Citadel Diana (msg #224, link: https://t.me/+Jp8Ontyhv602Njk0)
  [NEW] Citadel (msg #222, link: https://t.me/+w0cwjxC5k2Q3YTlk)
  [NEW] Mouse (msg #220, link: https://t.me/+Z8mRUYy1ihQ3Mjc6)
  [NEW] Teacup (msg #218, link: https://t.me/+fjB5l58-hwVlNGU0)
  [NEW] Dr House House MD (msg #215, link: https://t.me/+b8AGBPL3diZjM2E0)
  [NEW] The Wire (msg #213, link: https://t.me/+KbIeAMgQAUY4Y2I0)
  [NEW] Young Sheldon (msg #211, link: https://t.me/+mE9ggS17jYliODk0)
  ... scanned 200 messages so far ...
  [NEW] The Originals (msg #195, link: https://t.me/+sVW6j1_C_DY4NDI8)
  [NEW] Selena (msg #193, link: https://t.me/+oRbgK5GYFCw4MWI0)
  [NEW] Shameless (msg #191, link: https://t.me/+t_O4jxyhoXRlODI8)
  [NEW] Pretty Little Liars (msg #189, link: https://t.me/+L-MJL21xmso5MmI0)
  [NEW] Gossip Girl (msg #187, link: https://t.me/+BZZ160CFUPk3ZTZk)
  [NEW] The Boys (msg #184, link: https://t.me/+M2ktHQffNMBhMDBk)
  [NEW] Narcos (msg #182, link: https://t.me/+TNpB5vNina42ZDE0)
  [NEW] Task (msg #179, link: https://t.me/+J6GbhTxHC00xM2E0)
  [NEW] Finding Her Edge 2026 (msg #175, link: https://t.me/+lV8qxgWNqHkwMGQ0)
  [NEW] Tehran (msg #173, link: https://t.me/+C6O5P-KoKdw2NWU8)
  [NEW] SOMETHING VERY BAD (msg #171, link: https://t.me/+0x_Z9yLAnpUxZjVk)
  [NEW] The Bear (msg #169, link: https://t.me/+kpjVc3jmiEViOTk0)
  [NEW] Gotham (msg #161, link: https://t.me/+V4m0l1To9Lg3Yjg0)
  [NEW] The Summer I Turned Pretty (msg #159, link: https://t.me/+oxC1htKHdJljOTdi)
  [NEW] Mindhunter (msg #157, link: https://t.me/+IgOHsiZokiA2M2M0)
  [NEW] Love Story (msg #145, link: https://t.me/+XN9MKR-rUPw4ZTZk)
  [NEW] IT Welcome To Derry (msg #143, link: https://t.me/+UYwnucmOmbczNWVk)
  [NEW] A Knight Of The Seven Kingdoms (msg #142, link: https://t.me/+m7N7eWco4Nw4Yjk0)
  [NEW] Chernobyl (msg #140, link: https://t.me/+dDF76citUAZiZGU0)
  [NEW] High Potential (msg #138, link: https://t.me/+yxZeM5mVOhQ5ODQ0)
  [NEW] Sherlock (msg #136, link: https://t.me/+LAZ840Lbd88yZGQ8)
  [NEW] Daredevil Born Again (msg #134, link: https://t.me/+_lMfTrtscyA5ODM0)
  [NEW] Fallout (msg #132, link: https://t.me/+nurNr9etjBQyMjY8)
  [NEW] Dexter Resurrection (msg #130, link: https://t.me/+ZOOWv8U7p102NTU0)
  [NEW] Dexter New Blood (msg #128, link: https://t.me/+Cwxweb9ugZczOGY0)
  [NEW] Dexter (msg #126, link: https://t.me/+9h4EBUfC4uA3YzBi)
  [NEW] La Casa De Papel (msg #124, link: https://t.me/+ApZ1TSOe89w4Njg0)
  [NEW] Lost (msg #122, link: https://t.me/+FWKVSefWiVszMDFk)
  [NEW] Spartacus (msg #120, link: https://t.me/+zAbOS3hzgwIzY2Rk)
  [NEW] Banshee (msg #118, link: https://t.me/+Hf5O_78vkEdkM2U0)
  [NEW] Dexter Original Sin (msg #116, link: https://t.me/+2wDPixLeV5s3MmJk)
  [NEW] The Last Kingdom (msg #114, link: https://t.me/+Y2xeqKA7R-kzMWI0)
  [NEW] Vikings (msg #112, link: https://t.me/+4_eu9qsMOhk4Njlk)
  [NEW] Prison Break (msg #110, link: https://t.me/+qC4GE0zxg2tlMGU0)
  [NEW] Bosch Legacy (msg #108, link: https://t.me/+K-51MkSZSP0zNjYy)
  [NEW] Vikings Valhalla (msg #106, link: https://t.me/+oIFnBVvMj6FhMTM0)
  [NEW] Until I Kill You (msg #104, link: https://t.me/+p0wSeR9QO-xkYzA0)
  [NEW] Anne With An E (msg #102, link: https://t.me/+AGYTrr74IJ1hNzUy)
  [NEW] The Defenders (msg #100, link: https://t.me/+azP9cd-5JvVjNDU0)
  [NEW] Outer Banks (msg #98, link: https://t.me/+cu2ltSCwCKAxZjli)
  [NEW] The Punisher (msg #96, link: https://t.me/+keYeCK17wq81ZTFi)
  [NEW] The Queen's Gambit (msg #94, link: https://t.me/+O3D62N2Vs902MmY0)
  [NEW] Black Bird (msg #92, link: https://t.me/+9aeks8P-oX1hMWE0)
  [NEW] Grey's Anatomy (msg #90, link: https://t.me/+7bUGn-IuSwUxNTU0)
  [NEW] Vladimir (msg #88, link: https://t.me/+PXev3Y2dmrE2NjRk)
  [NEW] Blacklist (msg #86, link: https://t.me/+5F72rrqttLtkNzU0)
  [NEW] Camelot (msg #84, link: https://t.me/+2p_oyiz_tE0xY2E0)
  [NEW] When They See Us (msg #82, link: https://t.me/+EC0UgpGAvx9lY2Rk)
  [NEW] Invincible (msg #80, link: https://t.me/+RtOYroS8EMwzY2M0)
  [NEW] Prodigal Son (msg #78, link: https://t.me/+go5iIiVPz9llNmQ0)
  [NEW] Scarpetta (msg #76, link: https://t.me/+5x-wgzxOtPA3MjVk)
  [NEW] Outlander (msg #74, link: https://t.me/+EBkNUn2AVIliMjU8)
  [NEW] Tell Me Lies (msg #72, link: https://t.me/+8vjHMMFUa7U1YzFk)
  [NEW] Modern Family (msg #70, link: https://t.me/+0gRrOocNkhY1NzBk)
  [NEW] Super natural supernatural (msg #68, link: https://t.me/+ahcfuL4VQgVmYTY0)
  [NEW] Mr Robot (msg #66, link: https://t.me/+N6NMIct_b_Y4NTky)
  [NEW] The Secret Circle (msg #64, link: https://t.me/+3hlu12Ow5c5mZDE0)
  [NEW] Better Call Saul (msg #62, link: https://t.me/+Pw9Op0hnDaRmMTlk)
  [NEW] Breaking Bad (msg #60, link: https://t.me/+Liki7K8VgzRiNzRk)
  [NEW] Adolescence (msg #58, link: https://t.me/+HL-1QSbyEqcxNmNk)
  [NEW] Zero Day (msg #56, link: https://t.me/+X1M9IMEsTLE3MDU0)
  [NEW] Karma (msg #54, link: https://t.me/+58kWlblmuNs5OTY8)
  [NEW] The Pitt (msg #52, link: https://t.me/+QWKnKh08liQ5YTY0)
  [NEW] Undercover High School (msg #50, link: https://t.me/+ycBwLeB_IPFiNmNk)
  [NEW] The Bondsman (msg #48, link: https://t.me/+6hybBTnQa685OTE0)
  [NEW] Project UFO (msg #46, link: https://t.me/+fOX5hQ3vcsJjMDhk)
  [NEW] The Leopard (msg #44, link: https://t.me/+gyLZ0AwWnCthZmFk)
  [NEW] The Eternaut (msg #42, link: https://t.me/+FE5Ux4hOuKZiMGVk)
  [NEW] MOBLAND (msg #40, link: https://t.me/+cYlwUAqt99Y3MjU0)
  [NEW] Squid Game (msg #38, link: https://t.me/squid511)
  [NEW] Wednesday (msg #36, link: https://t.me/+EW_QJiChTxQwYzY0)
  [NEW] Alice In Borderland (msg #34, link: https://t.me/MAaliceinborderland)
  [NEW] Emily In Paris (msg #32, link: https://t.me/+Jq731spexe5iNWJk)
  [NEW] From (msg #30, link: https://t.me/from5115)
  [NEW] Stranger Things (msg #28, link: https://t.me/+iFtDjr5Ov1thZjc8)
  [NEW] The Night Agent (msg #26, link: https://t.me/+AxW0JL_Fg702Njk0)
  [NEW] The day Of The Jackal (msg #24, link: https://t.me/+EIbei2bzFF5hNGJk)
  [NEW] Peaky Blinders (msg #20, link: https://t.me/+yXt2jZq_iGthOGY0)
  [NEW] Dark (msg #18, link: https://t.me/+YH99Y3glVOoxZWY8)

============================================================
  TV SERIES SCRAPING COMPLETE
============================================================
  Total messages scanned  : 362
  Total series found      : 175
  Duplicates skipped      : 0
  New series added        : 175
  Time elapsed            : 6.9s
============================================================

